Date,Open,High,Low,Close,Adj Close,Volume
2012-03-07,14.760000,14.830000,14.760000,14.830000,11.413354,700
2012-03-08,15.090000,15.090000,15.090000,15.090000,11.613455,0
2012-03-09,15.130000,15.130000,15.130000,15.130000,11.644238,0
2012-03-12,15.120000,15.120000,15.120000,15.120000,11.636543,0
2012-03-13,15.340000,15.450000,15.340000,15.450000,11.890514,2675
2012-03-14,15.550000,15.620000,15.530000,15.530000,11.952084,18158
2012-03-15,15.610000,15.610000,15.580000,15.580000,11.990565,1313
2012-03-16,15.610000,15.690000,15.610000,15.690000,12.075222,3080
2012-03-19,15.690000,15.690000,15.600000,15.670000,12.059831,2780
2012-03-20,15.580000,15.580000,15.520000,15.520000,11.944387,1000
2012-03-21,15.580000,15.580000,15.500000,15.580000,11.990565,117585
2012-03-22,15.510000,15.510000,15.330000,15.440000,11.882818,2500
2012-03-23,15.380000,15.380000,15.380000,15.380000,11.836643,0
2012-03-26,15.530000,15.530000,15.530000,15.530000,11.952084,0
2012-03-27,15.460000,15.460000,15.460000,15.460000,11.898212,0
2012-03-28,15.290000,15.290000,15.290000,15.290000,11.767379,0
2012-03-29,15.110000,15.110000,15.110000,15.110000,11.628847,0
2012-03-30,15.360000,15.360000,15.360000,15.360000,11.821250,0
2012-04-02,15.310000,15.460000,15.310000,15.460000,11.898212,390
2012-04-03,15.300000,15.300000,15.300000,15.300000,11.775075,0
2012-04-04,15.180000,15.180000,14.910000,14.910000,11.474924,2495
2012-04-05,14.870000,14.870000,14.870000,14.870000,11.444139,0
2012-04-10,14.700000,14.700000,14.490000,14.490000,11.151687,15067
2012-04-11,14.610000,14.670000,14.610000,14.630000,11.259433,11785
2012-04-12,14.780000,14.780000,14.780000,14.780000,11.374874,0
2012-04-13,15.050000,15.050000,14.520000,14.530000,11.182472,4616
2012-04-16,14.850000,14.850000,14.530000,14.530000,11.182472,4560
2012-04-17,14.660000,14.890000,14.660000,14.890000,11.459531,1025
2012-04-18,14.760000,14.760000,14.560000,14.560000,11.205561,270
2012-04-19,14.570000,14.570000,14.470000,14.470000,11.136295,686
2012-04-20,14.540000,14.550000,14.540000,14.550000,11.197865,2027
2012-04-23,14.260000,14.260000,14.160000,14.160000,10.897715,15400
2012-04-24,14.270000,14.330000,14.270000,14.330000,11.028549,2015
2012-04-25,14.590000,14.620000,14.590000,14.620000,11.251739,5137
2012-04-26,14.700000,14.700000,14.550000,14.660000,11.282521,7931
2012-04-27,14.810000,14.860000,14.810000,14.860000,11.436442,530
2012-04-30,14.780000,14.780000,14.780000,14.780000,11.374874,0
2012-05-02,14.900000,14.900000,14.760000,14.760000,11.359483,4050
2012-05-03,14.750000,14.750000,14.750000,14.750000,11.351787,0
2012-05-04,14.720000,14.720000,14.470000,14.470000,11.136295,1152
2012-05-07,14.370000,14.640000,14.370000,14.640000,11.267131,139
2012-05-08,14.380000,14.380000,14.370000,14.370000,11.059333,2352
2012-05-09,14.320000,14.320000,14.320000,14.320000,11.020852,0
2012-05-10,14.350000,14.470000,14.350000,14.470000,11.136295,650
2012-05-11,14.430000,14.510000,14.400000,14.510000,11.167078,1884
2012-05-14,14.280000,14.280000,14.200000,14.220000,10.943892,566
2012-05-15,14.330000,14.330000,14.040000,14.080000,10.836146,3084
2012-05-16,13.900000,14.030000,13.890000,14.030000,10.797667,1200
2012-05-17,13.890000,13.890000,13.890000,13.890000,10.689920,0
2012-05-18,13.870000,13.940000,13.870000,13.890000,10.689920,1750
2012-05-21,14.040000,14.040000,14.040000,14.040000,10.805361,0
2012-05-22,14.120000,14.250000,14.120000,14.250000,10.966980,1060
2012-05-23,13.980000,14.010000,13.920000,13.920000,10.713008,1000
2012-05-24,14.000000,14.000000,14.000000,14.000000,10.774577,0
2012-05-25,14.070000,14.070000,14.070000,14.070000,10.828450,0
2012-05-28,14.070000,14.070000,14.070000,14.070000,10.828450,0
2012-05-29,14.170000,14.170000,14.170000,14.170000,10.905412,0
2012-05-30,14.010000,14.010000,14.010000,14.010000,10.782274,0
2012-05-31,null,null,null,null,null,null
2012-06-01,13.730000,13.730000,13.640000,13.640000,10.497518,3272
2012-06-04,13.600000,13.600000,13.600000,13.600000,10.466731,0
