Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,20600.320313,20800.000000,19535.359375,19706.880859,19178.105469,200
2010-02-12,20293.119141,20308.480469,19443.199219,19543.039063,19018.660156,200
2010-02-16,19118.080078,19438.080078,18790.400391,18849.279297,18343.515625,100
2010-02-17,18598.400391,18877.439453,18506.240234,18560.000000,18062.000000,100
2010-02-18,18536.960938,18624.000000,18060.800781,18114.560547,17628.507813,100
2010-02-19,18278.400391,18426.880859,17920.000000,18163.199219,17675.841797,100
2010-02-22,17966.080078,18478.080078,17953.279297,18275.839844,17785.462891,100
2010-02-23,18314.240234,19210.240234,18311.679688,19010.560547,18500.468750,200
2010-02-24,18682.880859,18767.359375,18191.359375,18416.640625,17922.486328,200
2010-02-25,18997.759766,19353.599609,18288.640625,18288.640625,17797.921875,200
2010-02-26,18432.000000,18608.640625,18127.359375,18188.800781,17700.757813,100
2010-03-01,17976.320313,17989.119141,17331.199219,17387.519531,16920.978516,200
2010-03-02,17228.800781,17359.359375,16942.080078,17254.400391,16791.431641,0
2010-03-03,17192.960938,17384.960938,16960.000000,17254.400391,16791.431641,100
2010-03-04,17159.679688,17397.759766,16977.919922,17039.359375,16582.158203,100
2010-03-05,16614.400391,16727.039063,16199.679688,16284.160156,15847.223633,200
2010-03-08,16176.639648,16207.360352,16051.200195,16151.040039,15717.673828,100
2010-03-09,16291.839844,16291.839844,15616.000000,15872.000000,15446.121094,300
2010-03-10,15731.200195,15759.360352,15388.160156,15490.559570,15074.915039,200
2010-03-11,15585.280273,15667.200195,15329.280273,15339.519531,14927.928711,200
2010-03-12,15144.959961,15459.839844,15144.959961,15316.480469,14905.508789,200
2010-03-15,15421.440430,15715.839844,15303.679688,15408.639648,14995.194336,200
2010-03-16,15272.959961,15398.400391,15057.919922,15111.679688,14706.202148,100
2010-03-17,15060.480469,15104.000000,14789.120117,15040.000000,14636.447266,200
2010-03-18,14952.959961,15052.799805,14799.360352,14860.799805,14462.053711,200
2010-03-19,15129.599609,15260.160156,14689.280273,15129.599609,14723.642578,300
2010-03-22,15270.400391,15334.400391,14517.759766,14704.639648,14310.084961,500
2010-03-23,14627.839844,14804.480469,14361.599609,14412.799805,14026.075195,400
2010-03-24,14484.480469,14691.839844,14466.559570,14566.400391,14175.555664,400
2010-03-25,14254.080078,14704.639648,14080.000000,14686.719727,14292.645508,500
2010-03-26,14492.160156,14840.320313,14318.080078,14597.120117,14205.450195,300
2010-03-29,14397.440430,14512.639648,14279.679688,14407.679688,14021.091797,200
2010-03-30,14282.240234,14515.200195,14144.000000,14266.879883,13884.070313,200
2010-03-31,14420.480469,14533.120117,14220.799805,14423.040039,14036.039063,400
2010-04-01,14289.919922,14778.879883,14008.320313,14453.759766,14065.936523,300
2010-04-05,14384.639648,14469.120117,13964.799805,14054.400391,13677.291992,400
2010-04-06,14161.919922,14220.799805,13816.320313,13941.759766,13567.673828,300
2010-04-07,14041.599609,14251.519531,13849.599609,14013.440430,13637.431641,400
2010-04-08,14159.360352,14353.919922,13885.440430,13964.799805,13590.096680,200
2010-04-09,13913.599609,14021.120117,13678.080078,13701.120117,13333.492188,200
2010-04-12,13662.719727,13736.959961,13552.639648,13657.599609,13291.138672,300
2010-04-13,13703.679688,13777.919922,13424.639648,13442.559570,13081.868164,500
2010-04-14,13235.200195,13286.400391,12966.400391,12974.080078,12625.958984,500
2010-04-15,12974.080078,12974.080078,12766.719727,12815.360352,12471.499023,400
2010-04-16,12935.679688,13491.200195,12802.559570,13219.839844,12865.124023,1000
2010-04-19,13399.040039,13749.759766,13168.639648,13276.160156,12919.934570,900
2010-04-20,13056.000000,13322.240234,12981.759766,13096.959961,12745.541016,500
2010-04-21,12812.799805,13063.679688,12728.320313,12835.839844,12491.427734,600
2010-04-22,13217.280273,13419.519531,12597.759766,12636.160156,12297.106445,1200
2010-04-23,12648.959961,12764.160156,12444.160156,12482.559570,12147.626953,400
2010-04-26,12449.280273,12615.679688,12372.480469,12567.040039,12229.840820,500
2010-04-27,12697.599609,13447.679688,12544.000000,13337.599609,12979.725586,1100
2010-04-28,13120.000000,13626.879883,13120.000000,13317.120117,12959.794922,2000
2010-04-29,13132.799805,13132.799805,12559.360352,12628.480469,12289.631836,1000
2010-04-30,12648.959961,13401.599609,12587.519531,13376.000000,13017.095703,1000
2010-05-03,13212.160156,13219.839844,12620.799805,12807.679688,12464.023438,900
2010-05-04,13286.400391,14218.240234,13281.280273,13967.360352,13592.587891,1700
2010-05-05,14353.919922,14630.400391,13900.799805,14154.240234,13774.451172,1800
2010-05-06,14446.080078,19304.960938,12172.799805,15595.519531,15177.060547,2900
2010-05-07,15948.799805,17676.800781,15357.440430,16616.960938,16171.093750,2900
2010-05-10,14571.519531,14663.679688,14144.000000,14202.879883,13821.786133,2100
2010-05-11,14563.839844,14668.799805,13621.759766,14187.519531,13806.839844,1500
2010-05-12,13990.400391,14033.919922,13363.200195,13414.400391,13054.464844,1100
2010-05-13,13573.120117,14110.719727,13258.240234,14036.480469,13659.852539,1000
2010-05-14,14356.480469,15324.160156,14348.799805,14837.759766,14439.632813,1600
2010-05-17,14730.240234,15644.160156,14533.120117,14725.120117,14330.015625,1100
2010-05-18,14336.000000,15485.440430,14243.839844,15298.559570,14888.066406,1100
2010-05-19,15467.519531,16171.519531,15111.679688,15664.639648,15244.325195,2200
2010-05-20,16532.480469,17500.160156,16463.359375,17195.519531,16734.128906,2400
2010-05-21,18232.320313,18424.320313,16445.439453,17006.080078,16549.773438,2900
2010-05-24,16880.640625,17039.359375,16296.959961,16885.759766,16432.679688,1600
2010-05-25,18155.519531,18641.919922,16908.800781,17016.320313,16559.736328,3000
2010-05-26,16729.599609,17628.160156,16005.120117,17520.640625,17050.527344,1500
2010-05-27,16322.559570,16488.960938,15552.000000,15552.000000,15134.707031,1800
2010-05-28,15511.040039,16230.400391,15447.040039,15838.719727,15413.734375,1900
2010-06-01,15982.080078,16317.440430,15160.320313,16294.400391,15857.188477,1400
2010-06-02,15987.200195,16312.320313,15075.839844,15137.280273,14731.115234,1100
2010-06-03,14993.919922,15255.040039,14604.799805,14684.160156,14290.154297,1600
2010-06-04,15605.759766,16320.000000,15045.120117,16158.719727,15725.149414,2800
2010-06-07,15902.719727,17088.000000,15797.759766,17049.599609,16592.121094,2000
2010-06-08,16944.640625,17838.080078,16829.439453,17131.519531,16671.845703,2900
2010-06-09,16819.199219,17722.880859,16330.240234,17589.759766,17117.789063,2200
2010-06-10,16913.919922,17075.199219,16017.919922,16051.200195,15620.514648,2600
2010-06-11,16545.279297,16560.640625,15575.040039,15628.799805,15209.446289,2300
2010-06-14,15183.360352,15692.799805,14860.799805,15667.200195,15246.817383,1400
2010-06-15,15390.719727,15421.440430,14312.959961,14389.759766,14003.654297,1700
2010-06-16,14474.240234,14551.040039,13977.599609,14161.919922,13781.925781,1700
2010-06-17,13967.360352,14415.360352,13926.400391,13982.719727,13607.536133,1100
2010-06-18,13944.320313,14120.959961,13708.799805,13975.040039,13600.060547,900
2010-06-21,13480.959961,14592.000000,13419.519531,14338.559570,13953.826172,2800
2010-06-22,14190.080078,14771.200195,13877.759766,14686.719727,14292.645508,2600
2010-06-23,14640.639648,15224.320313,14499.839844,14863.360352,14464.545898,2100
2010-06-24,15070.719727,15680.000000,14945.280273,15618.559570,15199.480469,1800
2010-06-25,15421.440430,15948.799805,15244.799805,15603.200195,15184.534180,1000
2010-06-28,15603.200195,16102.400391,15360.000000,15782.400391,15358.926758,1200
2010-06-29,16517.119141,17943.039063,16471.039063,17528.320313,17058.000000,3000
2010-06-30,17784.320313,18521.599609,17254.400391,18388.480469,17895.080078,2600
2010-07-01,18268.160156,19624.960938,18109.439453,18562.560547,18064.486328,3900
2010-07-02,18485.759766,19233.279297,18283.519531,18716.160156,18213.966797,1700
2010-07-06,17917.439453,19010.560547,17541.119141,18542.080078,18044.558594,2400
2010-07-07,18365.439453,18406.400391,16727.039063,16788.480469,16338.008789,1600
